"question_id","question","section_id","source_level","recommended_min_score","recommended_max_score","feedback_text","text_source","threshold_evidence"
"Q01","Effective recruitment process","S_PEOPLE_YE","0","0","2","In order to grow, you continuously need new - and good - people. This is often one of the most important challenges for a growth entrepreneur. You indicate that when it comes to finding new employees you find this very difficult. Ultimately, this is a matter of process, attention and time, often especially on the part of the entrepreneur. How much time do you spend on this? More than one day per week?","live sweep, 2026-08-14","range directly observed; 0/3 stored levels have duplicate text"
"Q01","Effective recruitment process","S_PEOPLE_YE","3","3","4","In order to grow, you continuously need new - and good - people. This is often one of the most important challenges for a growth entrepreneur. You indicate that when it comes to finding new employees you find this very difficult. Ultimately, this is a matter of process, attention and time, often especially on the part of the entrepreneur. How much time do you spend on this? More than one day per week?","live sweep, 2026-08-14","range directly observed; 0/3 stored levels have duplicate text"
"Q01","Effective recruitment process","S_PEOPLE_YE","5","5","6","In order to grow, you continuously need new - and good - people. This is often one of the most important challenges for a growth entrepreneur. You indicate that when it comes to finding new employees you find this difficult. Ultimately, this is a matter of process, attention and time, often especially on the part of the entrepreneur. How much time do you spend on this? More than one day per week?","live sweep, 2026-08-14","range directly observed; 0/3 stored levels have duplicate text"
"Q01","Effective recruitment process","S_PEOPLE_YE","7","7","8","In order to grow, you continuously need new - and good - people. This is often one of the most important challenges for a growth entrepreneur. You indicate that when it comes to finding new employees you have this reasonably well under control. That's great. This is most likely due to your recruitment process and the time and attention dedicated towards it. Try to keep this up when you continue to grow.","live sweep, 2026-08-14","range directly observed; 0/3 stored levels have duplicate text"
"Q01","Effective recruitment process","S_PEOPLE_YE","10","9","10","In order to grow, you continuously need new - and good - people. This is often one of the most important challenges for a growth entrepreneur. You indicate that when it comes to finding new employees you are very successful. That's great! This is most likely due to your recruitment process and the time and attention dedicated towards it. Try to keep this up when you continue to grow.","live sweep, 2026-08-14","range directly observed; 0/3 stored levels have duplicate text"
"Q02","High staff retention","S_PEOPLE_YE","0","0","2","Your employee turnover is high. Unwanted turnover is often a sign that processes, strategy or management are not in order. It takes an enormous amount of money and effort to continually find and train new employees. Find out what the reasons are, hold exit interviews and ask yourself whether you yourself would want to work at your company.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q02","High staff retention","S_PEOPLE_YE","3","3","4","Your employee turnover is high. Unwanted turnover is often a sign that processes, strategy or management are not in order. It takes an enormous amount of money and effort to continually find and train new employees. Find out what the reasons are, hold exit interviews and ask yourself whether you yourself would want to work at your company.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q02","High staff retention","S_PEOPLE_YE","5","5","6","Your employee turnover is relatively high. Unwanted turnover is often a sign that processes, strategy or management are not in order. It takes an enormous amount of money and effort to continually find and train new employees. Find out what the reasons are, hold exit interviews and ask yourself whether you yourself would want to work at your company.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q02","High staff retention","S_PEOPLE_YE","7","7","8","Your employee turnover is low. Unwanted turnover is often a sign that processes, strategy or management are not in order. It takes an enormous amount of money and effort to continually find and train new employees. This is hardly a problem for you. That's a good sign. Keep a close eye on this and hold exit interviews with people who leave.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q02","High staff retention","S_PEOPLE_YE","10","9","10","Your employee turnover is very little / none. Unwanted turnover is often a sign that processes, strategy or management are not in order. It takes an enormous amount of money and effort to continually find and train new employees. This is not a problem for you. That's a good sign. Keep a close eye on this when you start or continue to grow.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q03","Onboarding program","S_PEOPLE_YE","0","0","2","Employees do not receive a comprehensive onboarding program at your company. While this is understandable for a company of your size, a well-thought-out onboarding program will be an enormous help to employees with regard to learning their job, becoming familiar with the company's core values and getting to know their coworkers. It will help enormously with scaling up your company. It might be good to start thinking about this already.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q03","Onboarding program","S_PEOPLE_YE","3","3","4","Employees do not receive a comprehensive onboarding program at your company. While this is understandable for a company of your size, a well-thought-out onboarding program will be an enormous help to employees with regard to learning their job, becoming familiar with the company's core values and getting to know their coworkers. It will help enormously with scaling up your company. It might be good to start thinking about this already.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q03","Onboarding program","S_PEOPLE_YE","5","5","6","Not all employees receive an onboarding program at your company. That really is necessary with a company of your size. A well-thought-out onboarding program will be an enormous help to employees with regard to learning their jobs, becoming familiar with the company's core values and getting to know their coworkers. It will also help with scaling up your company. We recommend that you start taking steps toward this.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q03","Onboarding program","S_PEOPLE_YE","7","7","8","Employees do receive a type of onboarding program at your company. That's good, because a well-thought-out onboarding program will be an enormous help to employees with regard to learning their jobs, becoming familiar with the company's core values and getting to know their coworkers. It will also help with scaling up your company.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q03","Onboarding program","S_PEOPLE_YE","10","9","10","Employees receive a comprehensive onboarding program at your company. That's good, because a well-thought-out onboarding program will be an enormous help to employees with regard to learning their jobs, becoming familiar with the company's core values and getting to know their coworkers. It will also help with further scaling up your company. So keep it up.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q04","Measuring employee satisfaction","S_PEOPLE_YE","0","0","2","You do not yet measure employee satisfaction. That's understandable with a company of your size. You usually know quite well what's going on. This is something for the next phase.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q04","Measuring employee satisfaction","S_PEOPLE_YE","3","3","4","You do not yet measure employee satisfaction. That's understandable with a company of your size. You usually know quite well what's going on. This is something for the next phase.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q04","Measuring employee satisfaction","S_PEOPLE_YE","5","5","6","You don't yet systematically measure employee satisfaction. Your company is in the phase where you need to have a systematic understanding of what's going on among your employees. An employee survey is probably a good start in this respect.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q04","Measuring employee satisfaction","S_PEOPLE_YE","7","7","8","You already measure employee satisfaction. That's remarkable for a relatively small company and a good thing! After all, measuring is knowing.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q04","Measuring employee satisfaction","S_PEOPLE_YE","10","9","10","You already measure employee satisfaction. That's remarkable for a relatively small company and a good thing! After all, measuring is knowing.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q05","Positive about re-hiring employees","S_PEOPLE_YE","0","0","2","You would hire few or none of your current employees again. Ouch. This means that you have either postponed a lot of difficult decisions or you simply have a very bad hiring policy. You should work on this, because without good employees you can't grow.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q05","Positive about re-hiring employees","S_PEOPLE_YE","3","3","4","You would hire few or none of your current employees again. Ouch. This means that you have either postponed a lot of difficult decisions or you simply have a very bad hiring policy. You should work on this, because without good employees you can't grow.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q05","Positive about re-hiring employees","S_PEOPLE_YE","5","5","6","You would hire few of your current employees again. Ouch. This means that you have either postponed a lot of difficult decisions or you simply have a very bad hiring or development policy. You should work on this, because without good employees you can't grow.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q05","Positive about re-hiring employees","S_PEOPLE_YE","7","7","8","You would not hire all of your current employees again. That's not illogical. Sometimes the company changes so fast and employees cannot continue on. But do you already have a plan? Often you know something like this for a long time but postpone difficult decisions.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q05","Positive about re-hiring employees","S_PEOPLE_YE","10","9","10","You would hire all of your current employees again. Congratulations, that's really great. You have worked on your hiring and development policy. Keep it up!","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q06","Every employee has a training plan","S_PEOPLE_YE","0","0","2","Management thinker Tom Peters stated in his latest book 'one of the greatest responsibilities of an employer nowadays is the continuous development of employees'. In fast growing companies, roles are continuously changing, the need for training and education is therefore imperative. In your phase it is logical that this is not up to par, but you might want to start thinking about it.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q06","Every employee has a training plan","S_PEOPLE_YE","3","3","4","Management thinker Tom Peters stated in his latest book 'one of the greatest responsibilities of an employer nowadays is the continuous development of employees'. In fast growing companies, roles are continuously changing, the need for training and education is therefore imperative. In your phase it is logical that this is not up to par, but you might want to start thinking about it.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q06","Every employee has a training plan","S_PEOPLE_YE","5","5","6","Management thinker Tom Peters stated in his latest book 'one of the greatest responsibilities of an employer nowadays is the continuous development of employees'. In fast growing companies, roles are continuously changing, the need for training and education is therefore imperative. You have this partially executed. You might want to start thinking about bringing it up to par.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q06","Every employee has a training plan","S_PEOPLE_YE","7","7","8","Management thinker Tom Peters stated in his latest book 'one of the greatest responsibilities of an employer nowadays is the continuous development of employees'. In fast growing companies, roles are continuously changing, the need for training and education is therefore imperative. You are already working on this. Well done.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q06","Every employee has a training plan","S_PEOPLE_YE","10","9","10","Management thinker Tom Peters stated in his latest book 'one of the greatest responsibilities of an employer nowadays is the continuous development of employees'. In fast growing companies, roles are continuously changing, the need for training and education is therefore imperative. You have already implemented this. Tom would be proud.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q07","Outsourcing / Offshoring operations","S_PEOPLE_YE","0","0","2","You are not active with offshoring or outsourcing, this strategy is completely depending on your product/service, cost and scaling strategy.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q07","Outsourcing / Offshoring operations","S_PEOPLE_YE","3","3","4","You are not active with offshoring or outsourcing, this strategy is completely depending on your product/service, cost and scaling strategy.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q07","Outsourcing / Offshoring operations","S_PEOPLE_YE","5","5","6","You are somewhat active with offshoring or outsourcing, this strategy is completely depending on your product/service, cost and scaling strategy","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q07","Outsourcing / Offshoring operations","S_PEOPLE_YE","7","7","8","You are active with offshoring or outsourcing, this strategy is completely depending on your product/service, cost and scaling strategy.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q07","Outsourcing / Offshoring operations","S_PEOPLE_YE","10","9","10","You are very active with offshoring or outsourcing, this strategy is completely depending on your product/service, cost and scaling strategy.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q08","We apply flat-management or self-steering/organizing teams","S_PEOPLE_YE","0","0","2","You have not implemented new management models, when things work for you, don't change.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q08","We apply flat-management or self-steering/organizing teams","S_PEOPLE_YE","3","3","4","You have not implemented new management models, when things work for you, don't change.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q08","We apply flat-management or self-steering/organizing teams","S_PEOPLE_YE","5","5","6","You have somewhat implemented new management models. With your company size it is risky to experiment. Please note that changing management models often has great impact on people and culture. Mostly positive, but not always.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q08","We apply flat-management or self-steering/organizing teams","S_PEOPLE_YE","7","7","8","You are active with the implementation of new management models. Interesting, we hope this helps scaling your company better and faster.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q08","We apply flat-management or self-steering/organizing teams","S_PEOPLE_YE","10","9","10","You have fully implemented a new management model. Well done, we hope it will help you scale and grow.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q09","We have Core values","S_PEOPLE_CC","0","0","2","Core values are the internal 'rules of the game'. It's essential to have this very clear if you start growing quickly, but in small organizations it's often not yet necessary to make this explicit.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q09","We have Core values","S_PEOPLE_CC","3","3","4","Core values are the internal 'rules of the game'. It's essential to have this very clear if you start growing quickly, but in small organizations it's often not yet necessary to make this explicit.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q09","We have Core values","S_PEOPLE_CC","5","5","6","Core values are the internal 'rules of the game'. It's essential to have absolute clarity on this if you start or continue to grow rapidly. In your phase it's necessary to have a clearer picture on the core values, especially if you regularly hire new people. You have started on this. Finish, refine and communicate, is what we recommend.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q09","We have Core values","S_PEOPLE_CC","7","7","8","Core values are the internal 'rules of the game'. It's essential to have this very clear if you start growing quickly, but in small organizations it's often not yet necessary to make this explicit. But you have certainly come a long way. Try to critically examine the core values on a regular basis. A lot always changes in a small organization.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q09","We have Core values","S_PEOPLE_CC","10","9","10","Core values are the internal 'rules of the game'. It's essential to have this very clear if you start growing quickly, but in small organizations it's often not yet necessary to make this explicit. But at least you are clear on this. Try to critically examine the core values on a regular basis. A lot always changes in a small organization.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q10","We have focus on customers' needs","S_PEOPLE_CC","0","0","2","Growth often creates increased management attention to internal matters, employees, new premises, computer systems, etc. The most rapidly growing and successful companies keep a sharp focus on the continuously (changing) needs of the customer. Making and keeping this focus and attention explicit is important, especially in this phase of your company.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q10","We have focus on customers' needs","S_PEOPLE_CC","3","3","4","Growth often creates increased management attention to internal matters, employees, new premises, computer systems, etc. The most rapidly growing and successful companies keep a sharp focus on the continuously (changing) needs of the customer. Making and keeping this focus and attention explicit is important, especially in this phase of your company.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q10","We have focus on customers' needs","S_PEOPLE_CC","5","5","6","Growth often creates increased management attention to internal matters, employees, new premises, computer systems, etc. The most rapidly growing and successful companies keep a sharp focus on the continuously (changing) needs of the customer. Making and keeping this focus and attention explicit is important, especially in this phase of your company.","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
"Q10","We have focus on customers' needs","S_PEOPLE_CC","7","7","8","Growth often creates increased management attention to internal matters, employees, new premises, computer systems, etc. The most rapidly growing and successful companies keep a sharp focus on the continuously (changing) needs of the customer. You have already gotten far; keep it up!","uniform-fill Esperto report, 2026-05-01","source stop directly observed; interior range inferred from five-level design"
