phase,phase_name,headcount,score,question_id,question,feedback_text,peer_value,pdf_sha256,campaign_id
P1,Pioneering,3,0,Q01,Effective recruitment process,"In order to grow, you continuously need new - and good - people. This is often one of the most important challenges for a growth entrepreneur. You indicate that when it comes to finding new employees you find this very difficult. Ultimately, this is a matter of process, attention and time, often especially on the part of the entrepreneur. How much time do you spend on this? More than one day per week?",6.3,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q02,High staff retention,"Your employee turnover is high. Unwanted turnover is often a sign that processes, strategy or management are not in order. It takes an enormous amount of money and effort to continually find and train new employees. Find out what the reasons are, hold exit interviews and ask yourself whether you yourself would want to work at your company.",7.2,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q03,Onboarding program,"Employees do not receive a comprehensive onboarding program at your company. While this is understandable for a company of your size, a well-thought-out onboarding program will be an enormous help to employees with regard to learning their job, becoming familiar with the company's core values and getting to know their coworkers. It will help enormously with scaling up your company. It might be good to start thinking about this already.",5.6,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q04,Measuring employee satisfaction,You do not yet measure employee satisfaction. That's understandable with a company of your size. You usually know quite well what's going on. This is something for the next phase.,5.9,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q05,Positive about re-hiring employees,"You would hire few or none of your current employees again. Ouch. This means that you have either postponed a lot of difficult decisions or you simply have a very bad hiring policy. You should work on this, because without good employees you can't grow.",6.2,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q06,Every employee has a training plan,"Management thinker Tom Peters stated in his latest book 'one of the greatest responsibilities of an employer nowadays is the continuous development of employees'. In fast growing companies, roles are continuously changing, the need for training and education is therefore imperative. In your phase it is logical that this is not up to par, but you might want to start thinking about it.",4.6,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q07,Outsourcing / Offshoring operations,"You are not active with offshoring or outsourcing, this strategy is completely depending on your product/service, cost and scaling strategy.",4.4,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q08,We apply flat-management or self-steering/organizing teams,"You have not implemented new management models, when things work for you, don't change.",5.5,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q09,We have Core values,"Core values are the internal 'rules of the game'. It's essential to have this very clear if you start growing quickly, but in small organizations it's often not yet necessary to make this explicit.",7.2,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
P1,Pioneering,3,0,Q10,We have focus on customers' needs,"Growth often creates increased management attention to internal matters,employees,newpremises,computersystems,etc.Themost rapidly growing and successful companies keep a sharp focus on the continuously (changing) needs of the customer. Making and keeping this focus and attention explicit is important, especially in this phase of your company.",6.4,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,5Qlf2B2sAQ
