phase,phase_name,headcount,score,campaign_id,campaign_alias,status,pdf_path,pdf_sha256,pages,detail_rows,phase_heading,mail_after
P1,Pioneering,3,0,5Qlf2B2sAQ,jeff_feedback_phase1_0_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_49_47-04_00.pdf,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,26,61,You've reached phase 1 - Pioneering phase,disabled
P1,Pioneering,3,1,p3y88CH2XP,jeff_feedback_phase1_1_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_12_22-04_00.pdf,efe5ef652c2d8ce3bdd613fc288bbf75945ece0710520579fa82156e750064ff,26,61,You've reached phase 1 - Pioneering phase,disabled
P1,Pioneering,3,2,nSC0kIRfUx,jeff_feedback_phase1_2_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_13_06-04_00.pdf,df3fb74d6d2d0798d167b4413b4bc48f0db63988b372fea009e7bbeab6aa85bc,26,61,You've reached phase 1 - Pioneering phase,disabled
P1,Pioneering,3,3,Y2sfI13nx6,jeff_feedback_phase1_3_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_13_46-04_00.pdf,964e52cb7629b15b2ef2286276026f8417bba97e4f5da4d65031b9760a0e72ac,26,61,You've reached phase 1 - Pioneering phase,disabled
P1,Pioneering,3,4,hEE1gLJjJM,jeff_feedback_phase1_4_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_15_13-04_00.pdf,fe6e7c2dca07a7bb286b93db5d4cc64a774c174ddc0a84251baa26eb51cf9247,26,61,You've reached phase 1 - Pioneering phase,disabled
P1,Pioneering,3,5,csEGRbrUrV,jeff_feedback_phase1_5_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_50_49-04_00.pdf,49b21096f61051194c974791323c0e745e4f49427261e657d7247d41e707abb4,26,61,You've reached phase 1 - Pioneering phase,disabled
P1,Pioneering,3,6,pfF5u2AnYh,jeff_feedback_phase1_6_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_15_57-04_00.pdf,607fa50dce6f006fede500e44ccc2c75270e53aa584498e5d4a8e59477c0c795,26,61,You've reached phase 1 - Pioneering phase,disabled
P1,Pioneering,3,7,GnNZU6WvFU,jeff_feedback_phase1_7_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_51_32-04_00.pdf,18945736cd47a1a48b916fcd298d9937d22c0dd31e4bc2ad5a84d4d7afd19752,26,61,You've reached phase 1 - Pioneering phase,disabled
P1,Pioneering,3,8,qNCM3fThF0,jeff_feedback_phase1_8_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_42_54-04_00.pdf,d23e38bf6c18d73601e419faf8da3f7f89427dea35661a5b8227e48711742bc0,26,61,You've reached phase 1 - Pioneering phase,disabled
P1,Pioneering,3,9,8pgj83rno4,jeff_feedback_phase1_9_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_52_16-04_00.pdf,e70daface627480124277b6ae6b5181c2adaf606ed38bc32b68f5630118711db,26,61,You've reached phase 1 - Pioneering phase,disabled
P1,Pioneering,3,10,V7QHEfZHKJ,jeff_feedback_phase1_10_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_43_38-04_00.pdf,c9eb80bbad5c7cf1b279de48a32d3a03ece6494f09bcaa638bc599e69808f9d0,26,61,You've reached phase 1 - Pioneering phase,disabled
P2,Organization,15,0,cpCg40SGSS,jeff_feedback_phase2_0_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_52_59-04_00.pdf,8c7b35afb285d58aabaa39ce832a6b05a1e7ba2f5626e3ae13b9f4ed9c017db6,26,61,You've reached phase 2 - Organization phase,disabled
P2,Organization,15,1,KMXG3WKS3r,jeff_feedback_phase2_1_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_46_10-04_00.pdf,1668606eed2390f84632c6eb33cbcac54e55d81c0c716c6d216296bd9fe8ce2a,26,61,You've reached phase 2 - Organization phase,disabled
P2,Organization,15,2,9UrS0h0Whg,jeff_feedback_phase2_2_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_47_51-04_00.pdf,6333def1cdcbced43dce129f1237311d75d3fc1d01b779a4d045a1b3e15f01e9,26,61,You've reached phase 2 - Organization phase,disabled
P2,Organization,15,3,NbeYm5mz2i,jeff_feedback_phase2_3_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_48_35-04_00.pdf,998e91357d9e00e8aea17162968be9833b7bb2ddd5dba7a07694a49ae8c6dc84,26,61,You've reached phase 2 - Organization phase,disabled
P2,Organization,15,4,4zJVPctPTI,jeff_feedback_phase2_4_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_49_17-04_00.pdf,d77eec3f11bf268a90d286b904e6ce8047042d7894a62e77b628dc058403fb19,26,61,You've reached phase 2 - Organization phase,disabled
P2,Organization,15,5,7mzqdaq6UC,jeff_feedback_phase2_5_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_53_45-04_00.pdf,d53814a455e33447abe2cfe80aa02d7cb819c54ab2d222dd8ccc05cfb8a4527a,26,61,You've reached phase 2 - Organization phase,disabled
P2,Organization,15,6,lj2Hy35IUR,jeff_feedback_phase2_6_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_50_00-04_00.pdf,670b716f53f220d35dcba1a4a547f94d1ad979e4b3dea94f3b2eaf9f88512f80,26,61,You've reached phase 2 - Organization phase,disabled
P2,Organization,15,7,Q12TyrUCfX,jeff_feedback_phase2_7_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_54_38-04_00.pdf,b05fb0f44a5a35594b11bc9b01661a00da3687dae4b8eae140fc9c2f37103f2f,26,61,You've reached phase 2 - Organization phase,disabled
P2,Organization,15,8,bbKy4oFPpP,jeff_feedback_phase2_8_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_50_44-04_00.pdf,e896b892c1c82f4139b994778bcc8f260c0da1f2f19324be65c5b87a28627bcf,26,61,You've reached phase 2 - Organization phase,disabled
P2,Organization,15,9,EIbcOewBzk,jeff_feedback_phase2_9_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_55_22-04_00.pdf,f8fc42b5df487933005ddf60a95b951543222165035e168a340574b6f407da05,26,61,You've reached phase 2 - Organization phase,disabled
P2,Organization,15,10,K6B6cqaBxV,jeff_feedback_phase2_10_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_51_26-04_00.pdf,702fe4ebba95488d4585fde133dcfd57faae2f618434def2f31fb433c7f242cf,26,61,You've reached phase 2 - Organization phase,disabled
P3,Management,50,0,G3e9VvBvmz,jeff_feedback_uniform_0_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T03_10_06-04_00.pdf,e7c4f8af5fc201c5a0b6c0a9b1918f07d1365892d61faeae99b34e6ad725c150,26,61,You've reached phase 3 - Management phase,disabled
P3,Management,50,1,S8qXkEyaot,jeff_feedback_uniform_1_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T03_07_13-04_00.pdf,8a5a41da5709bbe2db777c942e4c6926963d898d75a02deffa135ef061ba23db,26,61,You've reached phase 3 - Management phase,disabled
P3,Management,50,2,R4ocw0Vfj6,jeff_feedback_uniform_2_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T03_13_57-04_00.pdf,8dd9223a439b689d5a76a7b0dcf1d7660c224577e437592626c8f98c60a2f8d3,26,61,You've reached phase 3 - Management phase,disabled
P3,Management,50,3,FGlbZNxfuh,jeff_feedback_uniform_3_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T03_16_30-04_00.pdf,6c5cb52052261f9a9fc764cd926ca5ada67c5cbd8bb159cf4a1f89a441f06397,26,61,You've reached phase 3 - Management phase,disabled
P3,Management,50,4,IdB8Kfl8I9,jeff_feedback_uniform_4_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T03_19_37-04_00.pdf,bf2ef1f07e51ddf4f163ff8d334eb1f216588502047f21b2ba060010c31dc1c8,26,61,You've reached phase 3 - Management phase,disabled
P3,Management,50,5,c4FusnRXJV,jeff_feedback_uniform_5_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T03_22_37-04_00.pdf,648019071b981db58254b66aee166cd6c024e6c3c58f89308f3550adba346b7c,26,61,You've reached phase 3 - Management phase,disabled
P3,Management,50,6,sPd7WZbj1t,jeff_feedback_uniform_6_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T03_24_04-04_00.pdf,9020db2a79ddfc34f13fdc9cf1cfd28bccde6df399a4a996eb585e27e904deab,26,61,You've reached phase 3 - Management phase,disabled
P3,Management,50,7,zbjagbBOnB,jeff_feedback_uniform_7_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T03_25_50-04_00.pdf,019ae7878d5dcd393eaaef5f774dd8f3f86ad9974c8f20f2a066842657059f76,26,61,You've reached phase 3 - Management phase,disabled
P3,Management,50,8,595SKfon5m,jeff_feedback_uniform_8_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T03_29_00-04_00.pdf,1a30bc17272dbbccb8c43372b63a32e94bc2a1d22ed49217bb4506fc685ebcc2,26,61,You've reached phase 3 - Management phase,disabled
P3,Management,50,9,uHRrQAzemO,jeff_feedback_uniform_9_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T03_30_56-04_00.pdf,174185899ca6d6b2f7bc48a301ffef77f359dd6141dc4cc9fde335012702afd8,26,61,You've reached phase 3 - Management phase,disabled
P3,Management,50,10,EBZtQOV81d,jeff_feedback_uniform_10_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T03_32_32-04_00.pdf,b763e44f90ef8eeac9285b069bf0a5ce73ed020d696b6dbe6c3d8330bcdc84ee,26,61,You've reached phase 3 - Management phase,disabled
P4,Delegation,100,0,eFZpROVhb9,jeff_feedback_phase_isolation_0_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_05_24-04_00.pdf,f29b1726a948e43a77d1b341a8519fad819176cd27096b35343e5ba4fa5610dd,26,61,You've reached phase 4 - Delegation phase,disabled
P4,Delegation,100,1,gucBvCYmve,jeff_feedback_phase4_1_20260820,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T09_53_31-04_00.pdf,ccf2deabaf96b66cc572e4a7ced75010b52a795f3d978434c5f4fbc375a42aff,26,61,You've reached phase 4 - Delegation phase,disabled
