phase,phase_name,score,edition4_source_level,lexical_matches,lexical_changes,changed_question_ids
P1,Pioneering,0,0,60,1,Q44
P1,Pioneering,1,0,60,1,Q44
P1,Pioneering,2,0,60,1,Q44
P1,Pioneering,3,3,60,1,Q57
P1,Pioneering,4,3,60,1,Q57
P1,Pioneering,5,5,30,31,Q03|Q04|Q05|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q24|Q26|Q27|Q29|Q30|Q32|Q33|Q35|Q36|Q46|Q49|Q50|Q51|Q56|Q57|Q58|Q59
P1,Pioneering,6,5,30,31,Q03|Q04|Q05|Q06|Q09|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q24|Q26|Q27|Q29|Q30|Q32|Q33|Q35|Q36|Q46|Q49|Q50|Q51|Q56|Q57|Q58|Q59
P1,Pioneering,7,7,60,1,Q01
P1,Pioneering,8,7,60,1,Q01
P1,Pioneering,9,10,60,1,Q01
P1,Pioneering,10,10,60,1,Q01
P2,Organization,0,0,34,27,Q03|Q04|Q06|Q09|Q11|Q13|Q16|Q17|Q19|Q21|Q22|Q23|Q24|Q25|Q26|Q29|Q30|Q35|Q44|Q46|Q49|Q53|Q56|Q57|Q58|Q59|Q61
P2,Organization,1,0,34,27,Q03|Q04|Q06|Q09|Q11|Q13|Q16|Q17|Q19|Q21|Q22|Q23|Q24|Q25|Q26|Q29|Q30|Q35|Q44|Q46|Q49|Q53|Q56|Q57|Q58|Q59|Q61
P2,Organization,2,0,34,27,Q03|Q04|Q06|Q09|Q11|Q13|Q16|Q17|Q19|Q21|Q22|Q23|Q24|Q25|Q26|Q29|Q30|Q35|Q44|Q46|Q49|Q53|Q56|Q57|Q58|Q59|Q61
P2,Organization,3,3,35,26,Q03|Q04|Q06|Q09|Q11|Q13|Q16|Q17|Q19|Q21|Q22|Q23|Q24|Q25|Q26|Q29|Q30|Q35|Q46|Q49|Q53|Q56|Q57|Q58|Q59|Q61
P2,Organization,4,3,35,26,Q03|Q04|Q06|Q09|Q11|Q13|Q16|Q17|Q19|Q21|Q22|Q23|Q24|Q25|Q26|Q29|Q30|Q35|Q46|Q49|Q53|Q56|Q57|Q58|Q59|Q61
P2,Organization,5,5,34,27,Q03|Q04|Q05|Q06|Q11|Q13|Q15|Q16|Q17|Q19|Q20|Q21|Q22|Q24|Q26|Q27|Q29|Q30|Q32|Q33|Q35|Q36|Q46|Q49|Q50|Q51|Q59
