question_id,question,score_0,score_5,score_7,score_9,unique_texts
Q01,Effective recruitment process,"In order to grow, you continuously need new - and good - people. This is often one of the most important challenges for a growth entrepreneur. You indicate that when it comes to finding new employees you find this very difficult. Ultimately, this is a matter of process, attention and time, often especially on the part of the entrepreneur. How much time do you spend on this? More than one day per week?","In order to grow, you continuously need new - and good - people. This is often one of the most important challenges for a growth entrepreneur. You indicate that when it comes to finding new employees you find this difficult. Ultimately, this is a matter of process, attention and time, often especially on the part of the entrepreneur. How much time do you spend on this? More than one day per week?","In order to grow, you continuously need new - and good - people. This is often one of the most important challenges for a growth entrepreneur. You indicate that when it comes to finding new employees you have this reasonably well under control. That's great. This is most likely due to your recruitment process and the time and attention dedicated towards it. Try to keep this up when you continue to grow.","In order to grow, you continuously need new - and good - people. This is often one of the most important challenges for a growth entrepreneur. You indicate that when it comes to finding new employees you are very successful. That's great! This is most likely due to your recruitment process and the time and attention dedicated towards it. Try to keep this up when you continue to grow.",4
Q02,High staff retention,"Your employee turnover is high. Unwanted turnover is often a sign that processes, strategy or management are not in order. It takes an enormous amount of money and effort to continually find and train new employees. Find out what the reasons are, hold exit interviews and ask yourself whether you yourself would want to work at your company.","Your employee turnover is relatively high. Unwanted turnover is often a sign that processes, strategy or management are not in order. It takes an enormous amount of money and effort to continually find and train new employees. Find out what the reasons are, hold exit interviews and ask yourself whether you yourself would want to work at your company.","Your employee turnover is low. Unwanted turnover is often a sign that processes, strategy or management are not in order. It takes an enormous amount of money and effort to continually find and train new employees. This is hardly a problem for you. That's a good sign. Keep a close eye on this and hold exit interviews with people who leave.","Your employee turnover is very little / none. Unwanted turnover is often a sign that processes, strategy or management are not in order. It takes an enormous amount of money and effort to continually find and train new employees. This is not a problem for you. That's a good sign. Keep a close eye on this when you start or continue to grow.",4
Q03,Onboarding program,"Employees do not receive a comprehensive onboarding program at your company. That really is necessary with a company of your size. A well-thought-out onboarding program will be an enormous help to employees with regard to learning their jobs, becoming familiar with the company's core values and getting to know their coworkers. It will also help with scaling up your company. It might be good to start taking steps toward this now.","Not all employees receive an onboarding program at your company. That really is necessary with a company of your size. A well-thought- out onboarding program will be an enormous help to employees with regard to learning their jobs, becoming familiar with the company's core values and getting to know their coworkers. It will also help with scaling up your company. We recommend that you start taking steps toward this.","Employees do receive a type of onboarding program at your company. That's good, because a well-thought-out onboarding program will be an enormous help to employees with regard to learning their jobs, becoming familiar with the company's core values and getting to know their coworkers. It will also help with scaling up your company.","Employees receive a comprehensive onboarding program at your company. That's good, because a well-thought-out onboarding program will be an enormous help to employees with regard to learning their jobs, becoming familiar with the company's core values and getting to know their coworkers. It will also help with scaling up your company. So keep it up.",4
Q04,Measuring employee satisfaction,"You do not yet measure employee satisfaction. Your company is in the phase where you need to have a systematic understanding of what's going on among your employees. After all, it's no longer possible for you to know them all personally. An employee survey is probably a good start in this respect.",You don't yet systematically measure employee satisfaction. Your company is in the phase where you need to have a systematic understanding of what's going on among your employees. An employee survey is probably a good start in this respect.,You already measure employee satisfaction to a large extent. That's good. Systematic knowledge of what's going on among your employees is necessary to run your company.,"You already measure employee satisfaction. That's good. Systematic knowledge of what's going on among your employees is necessary to run your company. If you no longer know everyone personally anymore, you might think about implementing additional interim measurements.",4
Q05,Positive about re-hiring employees,"You would hire few or none of your current employees again. Ouch. This means that you have either postponed a lot of difficult decisions or you simply have a very bad hiring policy. You should work on this, because without good employees you can't grow.","You would hire few of your current employees again. Ouch. This means that you have either postponed a lot of difficult decisions or you simply have a very bad hiring or development policy. You should work on this, because without good employees you can't grow.",You would not hire all of your current employees again. That's not illogical. Sometimes the company changes so fast and employees cannot continue on. But do you already have a plan? Often you know something like this for a long time but postpone difficult decisions.,"You would hire all of your current employees again. Congratulations, that's really great. You have worked on your hiring and development policy. - Or you are not critical enough. Which one is it?",4
Q06,Every employee has a training plan,"Management thinker Tom Peters stated in his latest book 'one of the greatest responsibilities of an employer nowadays is the continuous development of employees'. In fast growing companies, roles are continuously changing, the need for training and education is therefore imperative. With your company size it is substandard that none of this is implemented. You might want to prioritize and discuss this with your leadership team.","Management thinker Tom Peters stated in his latest book 'one of the greatest responsibilities of an employer nowadays is the continuous development of employees'. In fast growing companies, roles are continuously changing, the need for training and education is therefore imperative. You have this partially executed. You might want to start thinking about bringing it up to par.","Management thinker Tom Peters stated in his latest book 'one of the greatest responsibilities of an employer nowadays is the continuous development of employees'. In fast growing companies, roles are continuously changing, the need for training and education is therefore imperative. You have already implemented for most people. Well done. Maybe good finalize and implement for all employees and make Tom happy.","Management thinker Tom Peters stated in his latest book 'one of the greatest responsibilities of an employer nowadays is the continuous development of employees'. In fast growing companies, roles are continuously changing, the need for training and education is therefore imperative. You have already implemented this to the full extend. Well done, Tom would be proud.",4
Q07,Outsourcing / Offshoring operations,"You are not active with offshoring or outsourcing, this strategy is completely depending on your product/service, cost and scaling strategy.","You are somewhat active with offshoring or outsourcing, this strategy is completely depending on your product/service, cost and scaling strategy","You are active with offshoring or outsourcing, this strategy is completely depending on your product/service, cost and scaling strategy.","You are very active with offshoring or outsourcing, this strategy is completely depending on your product/service, cost and scaling strategy.",4
Q08,We apply flat-management or self-steering/organizing teams,"You have not implemented new management models, when things work for you, don't change.","You have somewhat implemented new management models. With your company size it is risky to experiment. Please note that changing management models often has great impact on people and culture. Mostly positive, but not always.","You are active with the implementation of new management models. Interesting, we hope this helps scaling your company better and faster.","You have fully implemented a new management model. Well done, we hope it will help you scale and grow.",4
Q09,We have Core values,"Core values are the internal 'rules of the game'. It's essential to have absolute clarity on this if you start or continue to grow rapidly. In your phase it's useful to have a clearer picture on the core values, especially if you regularly hire new people. So start on this.","Core values are the internal 'rules of the game'. It's essential to have absolute clarity on this if you start or continue to grow rapidly. In your phase it's necessary to have a clearer picture on the core values, especially if you regularly hire new people. You have started on this. Finish, refine and communicate, is what we recommend.","Core values are the internal 'rules of the game'. It's essential to have absolute clarity on this if you start or continue to grow rapidly. In your phase it's necessary to have a clearer picture on the core values, especially if you regularly hire new people. You have already actively started doing this, and that's good. Finish quickly and continuously communicate is the name of the game.","Core values are the internal 'rules of the game'. It's essential to have absolute clarity on this if you start or continue to grow rapidly. In your phase it's necessary to have a clearer picture on the core values, especially if you regularly hire new people. You have them, and you are communicating them effectively, which is great. What do you do when employees appear not to be conducting themselves according to these values?",4
Q10,We have focus on customers' needs,"Growth often creates increased management attention to internal matters,employees,newpremises,computersystems,etc.Themost rapidly growing and successful companies keep a sharp focus on the continuously (changing) needs of the customer. Making and keeping this focus and attention explicit is important, especially in this phase of your company.","Growth often creates increased management attention to internal matters,employees,newpremises,computersystems,etc.Themost rapidly growing and successful companies keep a sharp focus on the continuously (changing) needs of the customer. Making and keeping this focus and attention explicit is important, especially in this phase of your company.","Growth often creates increased management attention to internal matters,employees,newpremises,computersystems,etc.Themost rapidly growing and successful companies keep a sharp focus on the continuously (changing) needs of the customer. You have already gotten far; keep it up!","Growth often creates increased management attention to internal matters,employees,newpremises,computersystems,etc.Themost rapidly growing and successful companies keep a sharp focus on the continuously (changing) needs of the customer. You have that completely under control; keep it up, even during your next growth phases.",3
