phase,phase_name,question_id,question,unique_texts,scores_0_4_equal,scores_5_6_equal,scores_7_8_equal,scores_9_10_equal,change_4_to_5,change_6_to_7,change_8_to_9
P1,Pioneering,Q01,Effective recruitment process,4,true,true,true,true,true,true,true
P1,Pioneering,Q02,High staff retention,4,true,true,true,true,true,true,true
P1,Pioneering,Q03,Onboarding program,3,true,true,true,true,false,true,true
P1,Pioneering,Q04,Measuring employee satisfaction,3,true,true,true,true,true,true,false
P1,Pioneering,Q05,Positive about re-hiring employees,4,true,true,true,true,true,true,true
P1,Pioneering,Q06,Every employee has a training plan,3,true,true,true,true,false,true,true
P1,Pioneering,Q07,Outsourcing / Offshoring operations,4,true,true,true,true,true,true,true
P1,Pioneering,Q08,We apply flat-management or self-steering/organizing teams,4,true,true,true,true,true,true,true
P1,Pioneering,Q09,We have Core values,4,true,true,true,true,true,true,true
P1,Pioneering,Q10,We have focus on customers' needs,3,true,true,true,true,false,true,true
P1,Pioneering,Q11,Employees know core values,4,true,true,true,true,true,true,true
P1,Pioneering,Q12,We are transparent,4,true,true,true,true,true,true,true
P1,Pioneering,Q13,We have a positive and healthy culture,4,true,true,true,true,true,true,true
P1,Pioneering,Q14,We have formulated a long term (non-financial) goal,4,true,true,true,true,true,true,true
P1,Pioneering,Q15,We have formulated yearly goals,4,true,true,true,true,true,true,true
P1,Pioneering,Q16,We have formulated quarterly/ monthly goals (other than financial goals),4,true,true,true,true,true,true,true
P1,Pioneering,Q17,We work with a strategic plan,4,true,true,true,true,true,true,true
P1,Pioneering,Q18,Each employee has personalized goals,4,true,true,true,true,true,true,true
P1,Pioneering,Q19,We have implemented a growth methodology,4,true,true,true,true,true,true,true
P1,Pioneering,Q20,We have an active acquisitions strategy,4,true,true,true,true,true,true,true
P1,Pioneering,Q21,Tasks are properly allocated,4,true,true,true,true,true,true,true
P1,Pioneering,Q22,We have weekly management meetings.,4,true,true,true,true,true,true,true
P1,Pioneering,Q23,We have periodic strategic sessions.,4,true,true,true,true,true,true,true
P1,Pioneering,Q24,Leadership team receives regular training,4,true,true,true,true,true,true,true
P1,Pioneering,Q25,Our goals are translated into clear KPIs,4,true,true,true,true,true,true,true
P1,Pioneering,Q26,We use real-time data to measure our performance,4,true,true,true,true,true,true,true
P1,Pioneering,Q27,"We grow with limited mistakes, errors and problems",4,true,true,true,true,true,true,true
P1,Pioneering,Q28,We measure customer satisfaction,4,true,true,true,true,true,true,true
P1,Pioneering,Q29,We have systematic processes for continuous improvement,4,true,true,true,true,true,true,true
P1,Pioneering,Q30,We have an effective lead generation process,4,true,true,true,true,true,true,true
P1,Pioneering,Q31,Sales achievement,4,true,true,true,true,true,true,true
P1,Pioneering,Q32,Weekly sales meeting,4,true,true,true,true,true,true,true
P1,Pioneering,Q33,Head of sales is not the entrepreneur,3,true,true,true,true,false,true,true
P1,Pioneering,Q34,We have an effective PR/communication strategy,4,true,true,true,true,true,true,true
P1,Pioneering,Q35,Most processes are automated,3,true,true,true,true,false,true,true
P1,Pioneering,Q36,Systems prepped for growth,4,true,true,true,true,true,true,true
P1,Pioneering,Q37,Better systems than competitors,4,true,true,true,true,true,true,true
P1,Pioneering,Q38,Knowledge on latest technology,4,true,true,true,true,true,true,true
P1,Pioneering,Q39,We are more innovative than competitors,3,true,true,true,true,false,true,true
P1,Pioneering,Q40,Our business model is disruptive,4,true,true,true,true,true,true,true
P1,Pioneering,Q41,Real time financial insights,4,true,true,true,true,true,true,true
P1,Pioneering,Q42,Up-to-date cashflow planning,4,true,true,true,true,true,true,true
P1,Pioneering,Q43,Access to growth capital,4,true,true,true,true,true,true,true
P1,Pioneering,Q44,Financial alert function,4,true,true,true,true,true,true,true
P1,Pioneering,Q45,Leadership understands balance sheet,3,true,true,true,true,false,true,true
P1,Pioneering,Q46,CEO works on the company and is able to remove from daily operations,4,true,true,true,true,true,true,true
P1,Pioneering,Q47,Have a mentor,4,true,true,true,true,true,true,true
P1,Pioneering,Q48,Have an entrepreneurial network,4,true,true,true,true,true,true,true
P1,Pioneering,Q49,Enjoy management of company,4,true,true,true,true,true,true,true
P1,Pioneering,Q50,Energized by team and company,2,true,true,true,true,false,true,false
P1,Pioneering,Q51,Absence of CEO is possible,4,true,true,true,true,true,true,true
P1,Pioneering,Q52,Read business books,4,true,true,true,true,true,true,true
