phase,phase_name,headcount,score,campaign_id,status,pdf_path,pdf_sha256,phase_heading,mail_before,mail_after
P4,Delegation,51,5,QHj5zMW6MA,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_40_58-04_00.pdf,7972a1ea25b292277c882d04e7d6ccb3a98b62785e2190d5890d987e84e51d76,You’ve reached phase 4 - Delegation phase,disabled,disabled
P1,Pioneering,3,0,5Qlf2B2sAQ,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_49_47-04_00.pdf,0f8dc4abf6207da4bb5bf28d7eb959e83e68b8c4e8adeb24d8f5416e0afbc366,You’ve reached phase 1 - Pioneering phase,disabled,disabled
P1,Pioneering,3,5,csEGRbrUrV,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_50_49-04_00.pdf,49b21096f61051194c974791323c0e745e4f49427261e657d7247d41e707abb4,You’ve reached phase 1 - Pioneering phase,disabled,disabled
P1,Pioneering,3,7,GnNZU6WvFU,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_51_32-04_00.pdf,18945736cd47a1a48b916fcd298d9937d22c0dd31e4bc2ad5a84d4d7afd19752,You’ve reached phase 1 - Pioneering phase,disabled,disabled
P1,Pioneering,3,9,8pgj83rno4,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_52_16-04_00.pdf,e70daface627480124277b6ae6b5181c2adaf606ed38bc32b68f5630118711db,You’ve reached phase 1 - Pioneering phase,disabled,disabled
P2,Organization,15,0,cpCg40SGSS,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_52_59-04_00.pdf,8c7b35afb285d58aabaa39ce832a6b05a1e7ba2f5626e3ae13b9f4ed9c017db6,You’ve reached phase 2 - Organization phase,disabled,disabled
P2,Organization,15,5,7mzqdaq6UC,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_53_45-04_00.pdf,d53814a455e33447abe2cfe80aa02d7cb819c54ab2d222dd8ccc05cfb8a4527a,You’ve reached phase 2 - Organization phase,disabled,disabled
P2,Organization,15,7,Q12TyrUCfX,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_54_38-04_00.pdf,b05fb0f44a5a35594b11bc9b01661a00da3687dae4b8eae140fc9c2f37103f2f,You’ve reached phase 2 - Organization phase,disabled,disabled
P2,Organization,15,9,EIbcOewBzk,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_55_22-04_00.pdf,f8fc42b5df487933005ddf60a95b951543222165035e168a340574b6f407da05,You’ve reached phase 2 - Organization phase,disabled,disabled
P5,Standardization,200,0,11qxl7wBrd,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_56_04-04_00.pdf,c6169a918b6ca94165b564c5fb0f03a3dec23fc768af2549a84efa16fffae0fa,You’ve reached phase 5 - Standardization phase,disabled,disabled
P5,Standardization,200,5,LdYgsgyGId,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_56_46-04_00.pdf,ef2e2a1f94d11e2fceb614e9004f666e681d44fe4f466d78f558b7c4456e12ce,You’ve reached phase 5 - Standardization phase,disabled,disabled
P5,Standardization,200,7,PKUJSgXbQ9,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_57_28-04_00.pdf,a89b2d80c6336a94c05699c1b616ca608a001684b75983df5a1a3c153004b7bb,You’ve reached phase 5 - Standardization phase,disabled,disabled
P5,Standardization,200,9,Y5ltG2Te2T,completed,/Users/diushianstand/Downloads/ScalingUp_report_Wavex Verify_2026-08-20T08_58_10-04_00.pdf,8cfeb045bd31e0f533a52cc912c82e9f2cc00dede677f0a37dae26152bba0f1d,You’ve reached phase 5 - Standardization phase,disabled,disabled
